Mods count: 288
 
jar name                                                                            | mod id (isMCreator)                                     | mixin configs
Controlling-forge-1.20.1-12.0.2.jar                                                 | controlling                                             | controlling.mixins.json, controlling.forge.mixins.json
copycats-3.0.7+mc.1.20.1-forge.jar                                                  | copycats                                                | copycats-common.mixins.json, copycats-forge.mixins.json
coroutil-forge-1.20.1-1.3.7.jar                                                     | coroutil                                                | coroutil.mixins.json, coroutil_fabric.mixins.json
corpse-forge-1.20.1-1.0.18.jar                                                      | corpse                                                  | 
corpsecurioscompat-1.20.1-Forge-3.1.2.jar                                           | corpsecurioscompat                                      | corpsecurioscompat.mixins.json
cosmeticarmorreworked-1.20.1-v1a.jar                                                | cosmeticarmorreworked                                   | 
CraftPresence-2.7.1+1.20.1-forge.jar                                                | craftpresence                                           | 
CrashAssistant-forge-1.19-1.20.1-1.10.18.jar                                        | crash_assistant                                         | 
    /META-INF/jarjar/app.jar                                                        |                                                         | 
    /META-INF/jarjar/crash_assistant-forge.jar                                      | crash_assistant                                         | crash_assistant.mixins.json, crash_assistant-forge.mixins.json
Create Encased-1.20.1-1.7.2-fix2.jar                                                | createcasing                                            | createcasing.mixins.json
create-1.20.1-6.0.8.jar                                                             | create                                                  | create.mixins.json
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.91.jar                                 | ponder                                                  | ponder-common.mixins.json, ponder.mixins.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar                                    |                                                         | 
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.5.jar                                | flywheel                                                | flywheel.impl.mixins.json, flywheel.backend.mixins.json
create-confectionery1.20.1_v1.1.3.jar                                               | create_confectionery (MCreator mod)                     | mixins.create_confectionery.json
create-new-age-forge-1.20.1-1.1.3.jar                                               | create_new_age                                          | create_new_age.mixins.json, create.mixins.json
create-stuff-additions1.20.1_v2.1.1.jar                                             | create_sa (MCreator mod)                                | mixins.create_sa.json, mixins.create_sa.refmap.json
create_6_0_8_backported_fixes-1.1.0.jar                                             | create_6_0_8_backported_fixes                           | create_6_0_8_backported_fixes.mixins.json
create_chipped-1.1.0-forge-1.20.1.jar                                               | create_chipped (MCreator mod)                           | 
create_connected-1.1.8-mc1.20.1-all.jar                                             | create_connected                                        | create_connected.mixins.json
create_enchantment_industry-1.3.3-for-create-6.0.6.jar                              | create_enchantment_industry                             | create_enchantment_industry.mixins.json
create_hypertube-0.4.0-FORGE.jar                                                    | create_hypertube                                        | conflict_fix.mixins.json, create_hypertube.mixins.json
create_power_loader-2.0.3-mc1.20.1.jar                                              | create_power_loader                                     | create_power_loader.mixins.json
create_radar-0.4.6+mc1.20.1.jar                                                     | create_radar                                            | create_radar.mixins.json
create_tinkers_compat-2-forge-1.20.1.jar                                            | create_tinkers_compat (MCreator mod)                    | 
createaddition-1.20.1-1.3.3.jar                                                     | createaddition                                          | createaddition.mixins.json
createbigcannons-5.11.2-mc.1.20.1-forge.jar                                         | createbigcannons                                        | createbigcannons.mixins.json, createbigcannons-common.mixins.json
createcobblestone-1.4.10+forge-1.20.1-138.jar                                       | createcobblestone                                       | createcobblestone.mixins.json, createcobblestone-common.mixins.json
createdeco-2.0.3-1.20.1-forge.jar                                                   | createdeco                                              | createdeco-common.mixins.json, createdeco.mixins.json
createdieselgenerators-1.20.1-1.3.9.jar                                             | createdieselgenerators                                  | createdieselgenerators.mixins.json
createestrogen-1.0.1+1.20.1-forge.jar                                               | createestrogen                                          | createestrogen.mixins.json, createestrogen-forge.mixins.json
createframed-1.7.1.jar                                                              | createframed                                            | 
createmoredrillheads-2.1.0-1.20.1.jar                                               | createmoredrillheads                                    | createmoredrillheads.mixins.json
CreateNumismatics-1.0.15+forge-mc1.20.1.jar                                         | numismatics                                             | numismatics.mixins.json, numismatics-common.mixins.json
createoreexcavation-1.20-1.6.5.jar                                                  | createoreexcavation                                     | 
createrailwaysnavigator-forge-1.20.1-beta-0.8.5-C6.jar                              | createrailwaysnavigator                                 | createrailwaysnavigator.mixins.json
    /META-INF/jars/dragonlib-forge-1.20.1-2.2.24.jar                                | dragonlib                                               | dragonlib.mixins.json
        /META-INF/jars/architectury-forge-9.1.12.jar                                | architectury                                            | architectury.mixins.json, architectury-common.mixins.json
createstockbridge-1.20-0.2.0.jar                                                    | createstockbridge                                       | csb.mixins.json, csb.mixins.refmap.json
CreativeCore_FORGE_v2.12.31_mc1.20.1.jar                                            | creativecore                                            | creativecore.mixins.json, creativecore.mixins.refmap.json, creativecore.forge.mixins.json
cupboard-1.20.1-2.7.jar                                                             | cupboard                                                | cupboard.mixins.json
curios-forge-5.14.1+1.20.1.jar                                                      | curios                                                  | curios.mixins.json
cynosure-0.1.16-forge.jar                                                           | cynosure                                                | cynosure.forge.mixins.json, cynosure.mixins.json
    /META-INF/jars/kritter-forge-0.1.12+1.20.1.jar                                  | kritter                                                 | 
